Census \ Age,0-4,5-9,10-14,15-19,total
9330192.00,220,265,230,295,4145
9330186.01,440,410,415,485,7137
186.02,345,330,325,380,5495
186.05,460,520,570,560,7187
186.06,295,290,305,265,4079
185.09,405,295,315,285,5002
185.11,595,635,570,495,7856
185.1,465,470,410,415,5781
185.21,230,250,275,240,3640
185.22,375,310,285,315,4214
185.17,170,145,170,225,3649
185.18,305,300,315,355,4779
185.19,410,355,365,375,5418
185.2,390,390,360,370,4808
185.08,60,75,85,120,1432
185.07,505,510,595,605,7752
185.12,395,470,535,460,6657
185.16,385,370,390,400,4994
185.15,510,420,380,370,6175
186.07,400,405,425,395,5679
186.08,470,450,455,495,6269
191.03,375,345,340,370,5377
191.04,300,255,270,290,5884
191.05,215,220,265,295,3837
191.06,135,75,80,110,2594
191.07,205,95,110,160,3535
190.03,400,340,375,460,6183
190.04,325,355,450,475,6623
190.05,120,115,115,140,1753
190.01,385,320,300,355,6748
189.06,165,190,195,215,2925
187.04,110,110,120,110,1699
187.05,590,515,480,500,7306
184.02,505,510,425,465,7509
184.15,145,145,200,275,3166
184.16,325,360,390,395,5485
184.07,305,290,325,310,5105
184.08,355,365,420,405,5005
184.06,740,735,600,565,8965
184.12,290,240,220,225,3601
184.13,230,235,225,250,4058
184.14,675,545,355,300,6331
182.03,195,165,225,350,3798
184.11,630,570,670,650,9118
184.1,270,360,395,485,5265
184.09,280,340,360,370,4828
187.03,480,485,435,515,7252
189.05,415,380,420,430,8114
189.08,505,445,435,445,6617
189.03,180,205,230,285,3350
188.01,140,200,220,290,3148
188.02,145,160,235,305,2832
189.07,130,165,160,165,2487
189.1,395,395,505,615,6618
189.09,170,195,305,340,4088
188.08,145,205,370,450,4046
188.07,205,230,370,525,4431
188.04,180,260,305,400,4108
187.12,205,260,305,320,4270
187.06,290,385,470,560,6777
187.13,230,220,250,300,3842
187.11,370,340,335,340,4861
187.07,90,100,160,170,1932
187.15,205,240,275,310,4066
187.14,215,190,205,155,3404
187.16,155,200,250,275,2972
182.04,55,90,140,160,1731
182.05,375,380,390,435,6539
182.02,555,540,445,340,5604
183.01,405,415,480,505,6161
183.03,315,340,325,400,5922
183.05,840,815,690,615,9377
183.07,305,345,425,455,6474
183.06,150,130,140,135,2356
183.08,750,445,360,323,7017
183.09,750,445,360,322,7017
182.06,45,70,90,100,1180
188.06,65,70,95,90,1184
188.05,115,160,205,275,2687
182.01,210,245,275,295,4160
180.01,490,535,455,435,6910
180.04,325,280,343,368,6004
180.03,325,280,342,367,6003
181.13,110,125,175,210,3274
181.12,100,155,215,225,2884
181.14,205,170,190,215,3706
181.1,145,220,280,410,5189
181.11,85,80,115,175,2639
181.09,195,310,505,580,6411
181.03,220,265,395,445,5413
181.07,145,185,240,270,3558
181.08,120,155,155,170,2562
170.04,150,185,235,285,5369
170.03,50,30,65,80,3851
170.05,45,40,45,50,2418
170.08,120,105,125,170,3692
170.07,210,185,205,210,4009
181.05,270,280,325,395,7466
181.16,83,110,115,153,2561
181.15,82,110,115,152,2561
185.05,385,375,480,530,5750
